dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
TVSD,ResNet,features/layer3-20,V1,monkeyN,0.7225045625671016,0.7323246298245434,0.5224811701557946,0.5364287224558475,0.436745917272035,0.7482393823130467
TVSD,ResNet,features/layer3-20,V4,monkeyN,0.7397008744296368,0.7560728386811846,0.5413918229956273,0.5645529838606714,0.650845613302174,0.7401074904644859
TVSD,ResNet,features/layer3-20,IT,monkeyN,0.7693895760900737,0.7875653024831433,0.5736985915169026,0.6001301043849259,0.5502124531720769,0.7802015691453109
TVSD,ResNet,features/layer3-25,V1,monkeyF,0.6485343345412371,0.6672675233766759,0.4194568199623591,0.44239083791898176,0.47014063820901514,0.6340213738634212
TVSD,ResNet,features/layer3-25,V4,monkeyF,0.7083664022762861,0.7220360206510805,0.497815490566725,0.5160006285420939,0.5784299057773162,0.6955029013130328
TVSD,ResNet,features/layer3-25,IT,monkeyF,0.7461567628005706,0.773728859679925,0.5300677210711517,0.568672710659264,0.7171629480805943,0.7469336844421135
TVSD,ResNet,features/layer3-25,V1,monkeyN,0.7024845617144749,0.7120883583071178,0.4939620330639509,0.5072388538038899,0.39020626466292146,0.7086494586937827
TVSD,ResNet,features/layer3-25,V4,monkeyN,0.7230621281639005,0.7390277912698549,0.5151686331722175,0.5371533884318268,0.6365822842903666,0.7037660314528323
TVSD,ResNet,features/layer3-25,IT,monkeyN,0.7700582648176989,0.7883101416462349,0.5741636405755197,0.6006892720663741,0.54187934831884,0.791482402397217
TVSD,ResNet,features/layer3-30,V1,monkeyF,0.6517792012241276,0.6706375428811291,0.4251801275298442,0.44859419408429835,0.4785597476973241,0.6487528883751392
TVSD,ResNet,features/layer3-30,V4,monkeyF,0.7007242032894461,0.714307366053452,0.4860612199186496,0.503988177468097,0.5714795324643119,0.6857523179477706
TVSD,ResNet,features/layer3-30,IT,monkeyF,0.7427143492998814,0.7701365861789503,0.5233696516029115,0.5613912859164597,0.7086004735247368,0.7368863790650797
TVSD,ResNet,features/layer3-30,V1,monkeyN,0.70090893734226,0.7104765404132363,0.49358413879013,0.5068348720646845,0.40192012043714015,0.7163790478659338
TVSD,ResNet,features/layer3-30,V4,monkeyN,0.7179959620107876,0.7338972748537932,0.5080733258614957,0.5300893196126143,0.6137111371721098,0.6933051628150921
TVSD,ResNet,features/layer3-30,IT,monkeyN,0.7622575114306328,0.7801113795946326,0.5620272471914407,0.5871885278140503,0.5482216606608661,0.7871331927765425
TVSD,ResNet,features/layer3-5,V1,monkeyF,0.7354365975298531,0.7570608302199814,0.5391981496151083,0.5698734625283796,0.6266548048215346,0.7858733724245665
TVSD,ResNet,features/layer3-5,V4,monkeyF,0.742724758972484,0.7572813182444078,0.543563628161667,0.5641723723379141,0.6105856041521117,0.7650046614195228
TVSD,ResNet,features/layer3-5,IT,monkeyF,0.700655347771116,0.7266534380910166,0.46770568489908687,0.5022670004239277,0.6388578550763949,0.6545189062614527
TVSD,ResNet,features/layer3-5,V1,monkeyN,0.7788764909053311,0.7895153496591165,0.6050007287259341,0.6211952159098478,0.5202382375674242,0.8386890904463596
TVSD,ResNet,features/layer3-5,V4,monkeyN,0.7631979954369551,0.7800640657073385,0.5725851467556533,0.5969465775789907,0.6916575990015869,0.7874439793048673
TVSD,ResNet,features/layer3-5,IT,monkeyN,0.7341956624499663,0.7512110076984926,0.517065292645323,0.5398487216498481,0.5905597140779951,0.7081950176643667
TVSD,ResNet,features/layer4-1,V1,monkeyF,0.5976143799604932,0.6150726025619936,0.3545140740438172,0.3743521613734091,0.36166514112653886,0.5743366269273986
TVSD,ResNet,features/layer4-1,V4,monkeyF,0.6412019668742103,0.6536126084463334,0.40873028669333344,0.42375959807507824,0.5001940002243457,0.6015140925952976
TVSD,ResNet,features/layer4-1,IT,monkeyF,0.7288902396416033,0.7558425493676562,0.5077280669567448,0.5448834402024522,0.6850642447581045,0.7195348531839476
TVSD,ResNet,features/layer4-1,V1,monkeyN,0.637966415466699,0.6468019615488156,0.4093882196667699,0.42089918747245664,0.30095664139598505,0.6115318672813792
TVSD,ResNet,features/layer4-1,V4,monkeyN,0.6678055888351679,0.6827326810595726,0.4398943116971692,0.45911274386040407,0.538871892457198,0.6216004752915718
TVSD,ResNet,features/layer4-1,IT,monkeyN,0.7565512146906612,0.7743700578654708,0.5645139601565528,0.5903780965557296,0.5245511537415019,0.8009587761299181
TVSD,Transformer,features/language_model-layers-11,V1,monkeyF,0.4708819452675583,0.4842098716074561,0.19770505271956876,0.2117068883352952,0.21178564808034597,0.3835560563283358
TVSD,Transformer,features/language_model-layers-11,V4,monkeyF,0.5736300453672466,0.5848030863770872,0.32603442146285777,0.33798954640286527,0.3585220404735785,0.5484241480461886
TVSD,Transformer,features/language_model-layers-11,IT,monkeyF,0.6320072186205564,0.654949115155826,0.363229710218092,0.38898218093904974,0.5988285726704978,0.6227917701838257
TVSD,Transformer,features/language_model-layers-11,V1,monkeyN,0.5516969754124663,0.5590463730282528,0.29425711433849483,0.3031865081177215,0.22399111124926227,0.47742509854175463
TVSD,Transformer,features/language_model-layers-11,V4,monkeyN,0.6180956179607194,0.631886175257617,0.3659789348796422,0.382116579344711,0.4523366308906126,0.5510530957510987
TVSD,Transformer,features/language_model-layers-11,IT,monkeyN,0.6872671823664264,0.7031282701123943,0.4389219336220627,0.457652237146683,0.4007654051197723,0.706288416772821
TVSD,Transformer,features/language_model-layers-16,V1,monkeyF,0.47150410660096537,0.4848853797366589,0.20444791528025838,0.21775688038297983,0.2306555860059231,0.3933222171285276
TVSD,Transformer,features/language_model-layers-16,V4,monkeyF,0.5657626419160809,0.5768580543566707,0.31714523471684397,0.3290465750948186,0.34838322899227536,0.5332458974277725
TVSD,Transformer,features/language_model-layers-16,IT,monkeyF,0.6282839494032912,0.6512716551954512,0.36250700106337685,0.3884791562192262,0.579917911329136,0.6033073476488007
TVSD,Transformer,features/language_model-layers-16,V1,monkeyN,0.5568200885358614,0.564228632121898,0.30298585744192263,0.3114125189448026,0.23975243277195615,0.5123871119165921
TVSD,Transformer,features/language_model-layers-16,V4,monkeyN,0.6144987249183915,0.6282236075809283,0.36622626229259286,0.382518244151888,0.4581839791487835,0.5488643333923663
TVSD,Transformer,features/language_model-layers-16,IT,monkeyN,0.6807886761723833,0.6964837978843416,0.43591219576150875,0.45438255607316974,0.3874017639811128,0.7002758719511495
TVSD,Transformer,features/language_model-layers-3,V1,monkeyF,0.4754823329034137,0.48886601506834426,0.20053443093108436,0.21479522266515022,0.22737307852112995,0.3786261074633511
TVSD,Transformer,features/language_model-layers-3,V4,monkeyF,0.5939237242222386,0.6054880811039145,0.3456713638876753,0.3580528213577747,0.3796480999383331,0.5641034790996304
TVSD,Transformer,features/language_model-layers-3,IT,monkeyF,0.6578254814972196,0.6818477476452381,0.39275440450213295,0.4206263055863875,0.6261616862389867,0.6528681330568927
TVSD,Transformer,features/language_model-layers-3,V1,monkeyN,0.5522671248512026,0.5596157864051303,0.2889259171419693,0.29836546284991716,0.26073058351387673,0.4698281825760664
TVSD,Transformer,features/language_model-layers-3,V4,monkeyN,0.6400606200767306,0.6542861454612968,0.3908769805045972,0.40798423767848774,0.4690086554152304,0.5920572820818271
