dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-05,0.20317595049462375,0.27053059140771735,0.019628995208989964,0.05686348032966151,0.178241667121371,0.07509377646946185
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-06,0.29102639145598064,0.35666056216336184,0.0801678476488587,0.12585064386807812,0.2430199156231774,0.19558988859303494
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-07,0.23895922836257133,0.3215540884517629,0.020987812217372608,0.06893778160976019,0.2083598540591091,0.12160744484640569
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-08,0.21676729879444037,0.2711218675543491,-0.009868006418200825,0.05564998216239118,0.18122096872817625,0.14356603053961617
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-09,0.1992285796239858,0.30846795503917773,-0.017021798227293675,0.05063225198223421,0.05480507906957593,0.058432485797758504
EEG2,ResNet,features/layer1-0,middle_200_500ms,sub-10,0.3444090732435953,0.45342755773384047,0.060568665651414604,0.1335829843083623,0.26110581063393856,0.20152923781564586
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-01,0.014180167486623655,0.07964005945979695,-0.08864628687732418,0.0,-0.0198151060124136,-0.007304931883974663
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-02,0.033979843831753155,0.10809371059717136,-0.5503648472235029,0.0,0.04606526689769379,0.0051225318111237
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-03,0.04033401307731599,0.1236942413333374,-0.13847915296511684,0.0005074185121996679,0.06307882784281608,-0.0021434153627286866
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-04,0.025610534229537723,0.13653555239514426,-0.11409677860454277,0.004766781899843113,-0.020401474268896224,0.0007361763060824162
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-05,0.15321439351362698,0.3502334838568411,-0.04751644912158125,0.04425705832061359,0.08321639264325037,0.012155689756320292
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-06,0.14821670571388396,0.3375233089554631,-0.025077711329056764,0.06847032643899638,0.018429928536492664,0.015759457677258344
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-07,0.05914585409660504,0.1731228791284708,-0.072474337577388,0.007549254937403405,0.0011619073878929706,0.002112480429760028
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-08,0.038047727442800904,0.12437698683780331,-0.19713102981556843,0.0,0.008144215981814314,0.001953230501507454
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-09,0.07995892115434795,0.2296255522930497,-0.10097113775457725,0.012490977436864835,0.049730953828972385,0.010530980073402545
EEG2,ResNet,features/layer1-0,late_500_800ms,sub-10,0.17160124068732938,0.39691103746735257,-0.10304628061456207,0.039880569800215246,0.08700059216758926,0.04503725614073099
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-01,0.4419207504170832,0.6055541830434261,0.17519797188510278,0.33408776511753785,0.1542318598346666,0.09026739388508347
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-02,0.3981016290350938,0.5836818024177624,0.09312896020549434,0.1997442799865823,0.31570430596284815,0.2879374401973956
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-03,0.5079611257753199,0.6254395526582228,0.18065854189223904,0.3209151780173181,0.5084705134798209,0.549113469111941
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-04,0.5121593675133631,0.6652587373841319,0.22303338748153415,0.3873925710212208,0.21112833978755344,0.13967613889401975
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-05,0.5394670224412405,0.6507268278367752,0.3140259838331632,0.439918681645262,0.6569574566194084,0.708293105609597
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-06,0.5496837876953303,0.6890205906138939,0.27763351216393833,0.4235260204243345,0.5018316258916928,0.4367474999542038
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-07,0.5104459805851403,0.62433162037422,0.2689768609334026,0.42384476378582087,0.6451191025669331,0.6534995753747544
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-08,0.48307524798663737,0.5739933828438619,0.20339397401453943,0.29232016502425456,0.4004835803447965,0.34653921268424703
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-09,0.5229298995759095,0.7524063084026554,0.1913276459459717,0.3838695019747161,0.3521712517706087,0.357570471691458
EEG2,ResNet,features/layer2-0,early_0_200ms,sub-10,0.4498919558567175,0.5571125566401747,0.18385026194836285,0.3035966186517593,0.4577416779568481,0.3780455250154758
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-01,0.2390956337557287,0.37719824363438964,0.02841655849735776,0.11123547991687868,0.07740649107008098,0.029092197804379903
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-02,0.1714534703114269,0.24938356935605832,-0.18628589347277788,0.012888083332420308,0.10635732616169288,0.057995538491041325
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-03,0.3045279763670212,0.3843114639458414,-0.03223214320503829,0.09457633140217257,0.21386845414161818,0.2066942574021031
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-04,0.20960214947129807,0.28234110131564166,-0.008431931698114186,0.039123015246163684,0.08102956413750886,0.028224514204493033
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-05,0.23281020665179855,0.31547419436003793,0.03663062004377329,0.07678268120173845,0.19635662987540628,0.08306204343937591
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-06,0.3240834548592922,0.39657438406326007,0.100915931304107,0.15250547402696474,0.2763376941848101,0.23033159456427707
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-07,0.26524961347693504,0.3603856836066196,0.035209399124528064,0.08993980761958081,0.22391354962736706,0.13771204103484241
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-08,0.2548328081831736,0.3212914916286771,0.008178938574442723,0.06895670102560335,0.17853349702539317,0.1552243905877485
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-09,0.20924770444378105,0.32124270100969277,-0.012474036278470615,0.05513155877981306,0.06429693786519387,0.06546049447022768
EEG2,ResNet,features/layer2-0,middle_200_500ms,sub-10,0.37977861402704743,0.49793846472890124,0.08158634024660433,0.16088413699237783,0.2898532114576669,0.23347290353584457
EEG2,ResNet,features/layer2-0,late_500_800ms,sub-01,-0.016853282567271095,0.03055146992608387,-0.10858321008465675,0.0,-0.029509959881888186,-0.0063607785165698165
EEG2,ResNet,features/layer2-0,late_500_800ms,sub-02,0.050076173051191115,0.1369340889213371,-0.5386263561232404,0.0,0.006740550687344572,0.008028850774113853
