dataset,model,layer,target,subject,pearsonr,pearsonr_nc,ev,ev_nc,enc_rsa,enc_cka
NSD,ResNet,features/layer2-0,PPA,subj01,0.34344794390391725,0.6115056809825031,0.12321311862973582,0.36557005686581795,0.30790409448874323,0.3273791905668832
NSD,ResNet,features/layer2-0,OPA,subj01,0.3052146001265592,0.5461140967338854,0.09753068877517451,0.2902533276243127,0.313242807890383,0.20565119001487392
NSD,ResNet,features/layer2-0,EBA,subj01,0.3169176702853168,0.4985975826474685,0.10323345258904423,0.23294844366276002,0.3175102978795339,0.2880900023899782
NSD,ResNet,features/layer3-0,V1v,subj01,0.5619077196625408,0.8271003786210581,0.34092436421896855,0.689102009129175,0.6261735695173328,0.5973073025439357
NSD,ResNet,features/layer3-0,V2v,subj01,0.5118477588791064,0.7881922302863266,0.2892491842755717,0.627685120901985,0.5687497525182346,0.579960999103892
NSD,ResNet,features/layer3-0,V3v,subj01,0.4858898192236611,0.7800063782685417,0.25523155410525755,0.6075966643074618,0.5183965748514585,0.5024556212711023
NSD,ResNet,features/layer3-0,hV4,subj01,0.4249484463260762,0.7392209907391099,0.19540775968978719,0.545767957786422,0.457564174375603,0.40989127640677225
NSD,ResNet,features/layer3-0,FFA-1,subj01,0.35639223293932926,0.6528083170552286,0.138129748378759,0.42286161182772003,0.44045883008107617,0.4121720405711952
NSD,ResNet,features/layer3-0,VWFA-1,subj01,0.3124195497284315,0.5577343050429329,0.10386931124905598,0.30779978978090805,0.36772651015476965,0.23863405980177724
NSD,ResNet,features/layer3-0,PPA,subj01,0.3963858153551789,0.7034628157346556,0.17007835615039515,0.4948857827100644,0.40483002161650944,0.44066271326581563
NSD,ResNet,features/layer3-0,OPA,subj01,0.35520878618009694,0.6369425567019781,0.13321656739625837,0.3990308749673335,0.39325695633364066,0.2719116654594525
NSD,ResNet,features/layer3-0,EBA,subj01,0.39281475116895453,0.6170096232320434,0.1649436568396057,0.3686902981668873,0.47370533640703144,0.4551847878607619
NSD,ResNet,features/layer3-10,V1v,subj01,0.5408569137954741,0.7932141434288951,0.3209136546186154,0.6388304030505728,0.6160355897844569,0.5840442876679163
NSD,ResNet,features/layer3-10,V2v,subj01,0.5029680772503454,0.7716298172407521,0.28143993160805114,0.6052874703854421,0.5779404655638091,0.5806030495302925
NSD,ResNet,features/layer3-10,V3v,subj01,0.48915981095083083,0.784948076731134,0.25910821754652963,0.6170625078653423,0.5407246362101064,0.5189629854211362
NSD,ResNet,features/layer3-10,hV4,subj01,0.4356712363662024,0.7563916530726661,0.20565939140272327,0.5710329750022686,0.4826766406150804,0.428403667781332
NSD,ResNet,features/layer3-10,FFA-1,subj01,0.3899509340883176,0.7133019617167947,0.16637231663112506,0.5065250318797782,0.5209668414774008,0.49943098853170576
NSD,ResNet,features/layer3-10,VWFA-1,subj01,0.3378576740859999,0.6030001451576688,0.12193936399093346,0.3607825364989707,0.42466054097037803,0.27819653558744184
NSD,ResNet,features/layer3-10,PPA,subj01,0.42644600917039843,0.7574090257041259,0.19645026522840012,0.5740487286632204,0.4479422485165191,0.4974589522087799
NSD,ResNet,features/layer3-10,OPA,subj01,0.3826359686512606,0.6846327216177897,0.1584279977996385,0.46868339314553753,0.4446452465282082,0.3193820144884143
NSD,ResNet,features/layer3-10,EBA,subj01,0.43143633321661445,0.6783580909146782,0.20029758512185786,0.4494308559567611,0.5714648349619076,0.5387958543390916
