model,target,subject,method,pearsonr,pearsonr_nc,ev,ev_nc
Transformer,middle_200_500ms,sub-02,pooled_raw,0.21781852053010572,0.34612043580756835,-0.3454684088549,0.012363507810763728
Transformer,middle_200_500ms,sub-03,pooled_raw,0.276756099478987,0.36426975272614504,-0.6017418095171629,0.01069459724776352
Transformer,middle_200_500ms,sub-04,pooled_raw,0.2639302441094912,0.3622462842114364,-0.6327480265564533,0.010052164278777505
Transformer,middle_200_500ms,sub-05,pooled_raw,0.22506288058071144,0.31475068155679115,-0.5921913356058119,0.0074842116604431925
Transformer,middle_200_500ms,sub-06,pooled_raw,0.24850488729228407,0.3046107124125494,-0.6001152489255638,0.013279025997442372
Transformer,middle_200_500ms,sub-07,pooled_raw,0.20611993028654038,0.2841287893437968,-0.3259820103995837,0.01703255265825
Transformer,middle_200_500ms,sub-08,pooled_raw,0.24626030333642937,0.3150002349362729,-0.4753610427528733,0.016692895212497724
Transformer,middle_200_500ms,sub-09,pooled_raw,0.18853183725287828,0.2878962480201721,-0.5018344136674417,0.008140577642688721
Transformer,middle_200_500ms,sub-10,pooled_raw,0.35730585007109916,0.46466090301582863,-0.4166976462169986,0.03790753994959598
Transformer,late_500_800ms,sub-01,pooled_raw,0.09138597166284022,0.2853235788765746,-0.4347992461965251,0.0052171056610992765
Transformer,late_500_800ms,sub-02,pooled_raw,0.05208337835321456,0.1549941710557966,-0.3500795512582997,0.00355659003885918
Transformer,late_500_800ms,sub-03,pooled_raw,0.09819416161504595,0.24093195198207146,-0.6577878231323921,0.005953173745990752
Transformer,late_500_800ms,sub-04,pooled_raw,0.0681074523575454,0.30499622443773705,-0.9359461662371032,0.0
Transformer,late_500_800ms,sub-05,pooled_raw,0.10836955999893866,0.4975724767016539,-0.7313763693826614,0.01749765794011653
Transformer,late_500_800ms,sub-06,pooled_raw,0.11525384081628773,0.40375057309576984,-0.9573194126414788,0.0025519171444018038
Transformer,late_500_800ms,sub-07,pooled_raw,0.08010636499329798,0.3343368644580557,-0.6466487408072181,0.008769962270229071
Transformer,late_500_800ms,sub-08,pooled_raw,0.10379026849961642,0.29744521497704496,-0.6478569434349006,0.005923008349126265
Transformer,late_500_800ms,sub-09,pooled_raw,0.04912768747176323,0.2079601923762319,-0.8118040069220753,0.003528848731243618
Transformer,late_500_800ms,sub-10,pooled_raw,0.17055639739243392,0.4805431839008635,-0.5487942630513309,0.019612931373943664
