model,target,subject,method,pearsonr,pearsonr_nc,ev,ev_nc
Transformer,middle_200_500ms,sub-09,cross_subject_pooled,0.1748458615711288,0.2690773998612477,-0.4830085275132345,0.010651062622878798
Transformer,middle_200_500ms,sub-10,cross_subject_pooled,0.37241238565082535,0.48641507928684624,-0.4162478054483629,0.03625192574100164
Transformer,late_500_800ms,sub-01,cross_subject_pooled,0.09138596727104674,0.28532357254759466,-0.43479920370027664,0.005217134407813323
Transformer,late_500_800ms,sub-02,cross_subject_pooled,0.052083385661093426,0.1549941842268377,-0.35007941372687984,0.003556592134197695
Transformer,late_500_800ms,sub-03,cross_subject_pooled,0.09819416242028771,0.24093194478288327,-0.6577877363126944,0.00595315468288554
Transformer,late_500_800ms,sub-04,cross_subject_pooled,0.06810745363938643,0.3049962416791369,-0.9359461898944281,0.0
Transformer,late_500_800ms,sub-05,cross_subject_pooled,0.10836956867687887,0.4975724893649609,-0.7313762844331367,0.0174970971044194
Transformer,late_500_800ms,sub-06,cross_subject_pooled,0.1152538397709487,0.4037505697054787,-0.9573194922345069,0.0025517195062067745
Transformer,late_500_800ms,sub-07,cross_subject_pooled,0.08010636301403234,0.3343368752251515,-0.6466485361151953,0.008770060952442342
Transformer,late_500_800ms,sub-08,cross_subject_pooled,0.10379027485943777,0.29744523024530484,-0.6478570374658406,0.005922959950635874
Transformer,late_500_800ms,sub-09,cross_subject_pooled,0.04912769026880758,0.2079601931423532,-0.8118041152138776,0.003528808046910368
Transformer,late_500_800ms,sub-10,cross_subject_pooled,0.1705563972872364,0.4805431829806609,-0.5487940443176329,0.019612870594751933
