dataset,target,model,layer,RSA,CKA
TVSD,IT,ResNet,features/layer1-0,0.05642393485140952,0.09724603646089633
TVSD,IT,ResNet,features/layer2-0,0.13791909099112334,0.12040625175283938
TVSD,IT,ResNet,features/layer3-0,0.21709770899595815,0.17870291815765893
TVSD,IT,ResNet,features/layer3-10,0.19783377410284603,0.21486730633915796
TVSD,IT,ResNet,features/layer3-15,0.18352443291353235,0.22943474781668066
TVSD,IT,ResNet,features/layer3-20,0.18799540579204765,0.2423223031568837
TVSD,IT,ResNet,features/layer3-25,0.19350733079894988,0.25185589594794244
TVSD,IT,ResNet,features/layer3-30,0.1869318515905935,0.22832009397769665
TVSD,IT,ResNet,features/layer3-5,0.19749748098359393,0.20091052298507767
TVSD,IT,ResNet,features/layer4-1,0.2232337641820274,0.21371768514406375
TVSD,IT,Transformer,features/language_model-layers-11,0.07118684204662576,0.12883688202491578
TVSD,IT,Transformer,features/language_model-layers-16,0.06964073303360409,0.11219983199500788
TVSD,IT,Transformer,features/language_model-layers-3,0.06755428348905812,0.1256079880966289
TVSD,IT,Transformer,features/language_model-layers-8,0.07827250491198195,0.1230462681906806
TVSD,IT,Transformer,features/visual-blocks-10,0.05857420754585814,0.004310137859772837
TVSD,IT,Transformer,features/visual-blocks-14,0.0689497077111369,0.006172067435307233
TVSD,IT,Transformer,features/visual-blocks-18,0.08058407484613439,0.01929661570023569
TVSD,IT,Transformer,features/visual-blocks-2,0.06064957379294744,0.05096548806509744
TVSD,IT,Transformer,features/visual-blocks-22,0.08646451340874795,0.04926481029521503
TVSD,IT,Transformer,features/visual-blocks-6,0.07964818495130688,0.06829119678548437
TVSD,V1,ResNet,features/layer1-0,0.10443418199915036,0.34118170627709477
TVSD,V1,ResNet,features/layer2-0,0.18951331008764005,0.36197207405706106
TVSD,V1,ResNet,features/layer3-0,0.19771235267212386,0.3284760561616377
TVSD,V1,ResNet,features/layer3-10,0.09726818011748947,0.16624020559617717
