model,target,subject,method,pearsonr,pearsonr_nc,ev,ev_nc
ResNet,middle_200_500ms,sub-06,per_subject_baseline,0.44715741838562684,0.5441375043981234,0.17471886724395025,0.25172324394847345
ResNet,middle_200_500ms,sub-07,per_subject_baseline,0.4099382439473998,0.546889964534142,0.12202894781192483,0.2095365083576193
ResNet,middle_200_500ms,sub-08,per_subject_baseline,0.357553348839998,0.4543358522520068,0.04623789299644966,0.12832626776008146
ResNet,middle_200_500ms,sub-09,per_subject_baseline,0.350807068094832,0.5440556269577533,0.053014032227929136,0.16881842548655376
ResNet,middle_200_500ms,sub-10,per_subject_baseline,0.528055945325183,0.6805010438351844,0.2074700599602155,0.33031238703755234
ResNet,late_500_800ms,sub-01,per_subject_baseline,0.06295846991634878,0.17196650614189662,-0.06158970668267132,0.011225197468466274
ResNet,late_500_800ms,sub-02,per_subject_baseline,0.07050772301385956,0.18446449978336063,-0.5059133642711127,0.0
ResNet,late_500_800ms,sub-03,per_subject_baseline,0.14497297183032218,0.3263630064661298,-0.09805189263786417,0.04285213978778295
ResNet,late_500_800ms,sub-04,per_subject_baseline,0.1627289038641424,0.4166346770028575,-0.025571234216671786,0.09739284351989697
ResNet,late_500_800ms,sub-05,per_subject_baseline,0.26260252257072747,0.6022656339989512,0.0004698280492050312,0.19488214463850592
ResNet,late_500_800ms,sub-06,per_subject_baseline,0.2676130714747199,0.6179345178194452,0.036755376173304675,0.2504423997831254
ResNet,late_500_800ms,sub-07,per_subject_baseline,0.13134634243096951,0.3516627345650824,-0.04176621218318089,0.08043333504395946
ResNet,late_500_800ms,sub-08,per_subject_baseline,0.129904503953408,0.3221651742673668,-0.1826906941077436,0.01538740611356244
ResNet,late_500_800ms,sub-09,per_subject_baseline,0.16737598400994466,0.4076279909962171,-0.05039865638236956,0.07432234588287728
ResNet,late_500_800ms,sub-10,per_subject_baseline,0.27873904774455766,0.6327869384140827,-0.014653678762839163,0.1758589261027052
Transformer,early_0_200ms,sub-01,per_subject_baseline,0.47399958346570675,0.6490586652855282,0.19461380817515878,0.369257346480607
Transformer,early_0_200ms,sub-02,per_subject_baseline,0.430175482456006,0.6252051892040843,0.10166549634335104,0.2305926755440201
Transformer,early_0_200ms,sub-03,per_subject_baseline,0.5384549241343322,0.6621576182477972,0.19895672436625192,0.35578402033979983
Transformer,early_0_200ms,sub-04,per_subject_baseline,0.4973678996700976,0.6405522333760054,0.1966394223188809,0.33146883522170917
Transformer,early_0_200ms,sub-05,per_subject_baseline,0.5445935221401768,0.660726999069695,0.31135550292630293,0.44145607672877457
Transformer,early_0_200ms,sub-06,per_subject_baseline,0.5595610838888517,0.6986272519182303,0.2869473180593025,0.43095707105428477
Transformer,early_0_200ms,sub-07,per_subject_baseline,0.518828932888108,0.6298422075406742,0.2748520602477445,0.4244495698848188
